timestamp,origin,destination,distance_km,duration_normal_min,duration_traffic_min,delay_min,hour,day_of_week,is_weekend,temperature,wind,rain
2026-03-18 13:54:51,"Fushe Kosove, Kosovo","Prishtine Center, Prishtine, Kosovo",7.66,21.23,27.62,6.38,13,2,0,8.62,5.66,0
2026-03-18 13:55:00,"Veternik, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",8.4,19.53,23.47,3.93,13,2,0,8.62,5.66,0
2026-03-18 13:55:03,"Kalabria, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",4.24,13.25,17.75,4.5,13,2,0,8.62,5.66,0
2026-03-18 13:55:05,"Arberia, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",2.14,6.9,8.2,1.3,13,2,0,8.62,5.66,0
2026-03-18 13:55:10,"Emshir, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",4.24,13.25,17.98,4.73,13,2,0,8.62,5.66,0
2026-03-18 13:55:13,"Gazi Rada, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",3.31,12.4,22.1,9.7,13,2,0,8.62,5.66,0
2026-03-18 13:55:15,"Zahir Pajaziti, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",1.16,5.38,7.43,2.05,13,2,0,8.62,5.66,0
2026-03-18 13:55:18,"Sunny Hill, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",2.52,8.02,10.77,2.75,13,2,0,8.62,5.66,0
2026-03-18 13:55:20,"Maklleshi, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,5.66,0
2026-03-18 13:55:23,"Lisja, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,5.66,0
2026-03-18 13:55:26,"Prishtine Center, Prishtine, Kosovo","Fushe Kosove, Kosovo",8.01,18.97,29.02,10.05,13,2,0,8.62,5.66,0
2026-03-18 13:55:31,"Prishtine Center, Prishtine, Kosovo","Veternik, Prishtine, Kosovo",5.13,16.05,22.68,6.63,13,2,0,8.62,5.66,0
2026-03-18 13:55:34,"Prishtine Center, Prishtine, Kosovo","Kalabria, Prishtine, Kosovo",4.62,12.9,19.32,6.42,13,2,0,8.62,5.66,0
2026-03-18 13:55:43,"Prishtine Center, Prishtine, Kosovo","Arberia, Prishtine, Kosovo",1.98,6.08,8.58,2.5,13,2,0,8.62,5.66,0
2026-03-18 13:55:46,"Prishtine Center, Prishtine, Kosovo","Emshir, Prishtine, Kosovo",4.62,12.9,19.55,6.65,13,2,0,8.62,5.66,0
2026-03-18 13:55:48,"Prishtine Center, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.92,10.65,14.75,4.1,13,2,0,8.62,5.66,0
2026-03-18 13:55:50,"Prishtine Center, Prishtine, Kosovo","Zahir Pajaziti, Prishtine, Kosovo",1.15,4.68,5.42,0.73,13,2,0,8.62,5.66,0
2026-03-18 13:55:53,"Prishtine Center, Prishtine, Kosovo","Sunny Hill, Prishtine, Kosovo",2.65,8.27,9.02,0.75,13,2,0,8.62,5.66,0
2026-03-18 13:55:56,"Prishtine Center, Prishtine, Kosovo","Maklleshi, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,5.66,0
2026-03-18 13:55:59,"Prishtine Center, Prishtine, Kosovo","Lisja, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,5.66,0
2026-03-18 13:56:01,"Dardania, Prishtine, Kosovo","Ulpiana, Prishtine, Kosovo",1.0,3.15,3.4,0.25,13,2,0,8.62,5.66,0
2026-03-18 13:56:04,"Ulpiana, Prishtine, Kosovo","Bregu i Diellit, Prishtine, Kosovo",2.33,8.28,8.1,-0.18,13,2,0,8.62,5.66,0
2026-03-18 13:56:07,"Dardania, Prishtine, Kosovo","Kalabria, Prishtine, Kosovo",2.92,6.25,8.47,2.22,13,2,0,8.62,5.66,0
2026-03-18 13:56:10,"Arberia, Prishtine, Kosovo","Bregu i Diellit, Prishtine, Kosovo",3.6,12.57,16.37,3.8,13,2,0,8.62,5.66,0
2026-03-18 13:56:13,"Emshir, Prishtine, Kosovo","Dardania, Prishtine, Kosovo",2.3,5.27,7.63,2.37,13,2,0,8.62,5.66,0
2026-03-18 13:56:15,"Gazi Rada, Prishtine, Kosovo","Zahir Pajaziti, Prishtine, Kosovo",3.1,14.43,20.25,5.82,13,2,0,8.62,5.66,0
2026-03-18 13:56:18,"Sunny Hill, Prishtine, Kosovo","Ulpiana, Prishtine, Kosovo",2.97,9.85,10.22,0.37,13,2,0,8.62,5.66,0
2026-03-18 13:56:21,"Maklleshi, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.92,10.65,15.03,4.38,13,2,0,8.62,5.66,0
2026-03-18 13:56:24,"Lisja, Prishtine, Kosovo","Sunny Hill, Prishtine, Kosovo",2.65,8.27,9.02,0.75,13,2,0,8.62,5.66,0
2026-03-18 13:56:27,"Veternik, Prishtine, Kosovo","Kalabria, Prishtine, Kosovo",3.91,8.77,14.5,5.73,13,2,0,8.62,5.66,0
2026-03-18 13:56:29,"Arberia, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",3.8,13.97,18.88,4.92,13,2,0,8.62,5.66,0
2026-03-18 13:56:32,"Dardania, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.09,7.37,8.63,1.27,13,2,0,8.62,5.66,0
2026-03-18 13:56:35,"Zahir Pajaziti, Prishtine, Kosovo","Bregu i Diellit, Prishtine, Kosovo",1.9,8.32,8.43,0.12,13,2,0,8.62,5.66,0
2026-03-18 13:56:41,"Maklleshi, Prishtine, Kosovo","Emshir, Prishtine, Kosovo",4.62,12.9,18.7,5.8,13,2,0,8.62,5.66,0
2026-03-18 13:56:46,"Prishtine Center, Prishtine, Kosovo","Albi Mall, Prishtine, Kosovo",5.52,17.67,22.9,5.23,13,2,0,8.62,5.66,0
2026-03-18 13:56:49,"Albi Mall, Prishtine, Kosovo","Veternik, Prishtine, Kosovo",0.97,3.4,4.07,0.67,13,2,0,8.62,5.66,0
2026-03-18 13:57:06,"Albi Mall, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.57,8.18,8.7,0.52,13,2,0,8.62,5.66,0
2026-03-18 13:57:09,"Prishtine Center, Prishtine, Kosovo","Grand Prishtina Mall, Prishtine, Kosovo",12.96,21.58,27.73,6.15,13,2,0,8.62,5.66,0
2026-03-18 13:57:11,"Grand Prishtina Mall, Prishtine, Kosovo","Ulpiana, Prishtine, Kosovo",10.7,13.92,20.88,6.97,13,2,0,8.62,6.17,0
2026-03-18 13:57:14,"Prishtine Center, Prishtine, Kosovo","Prishtina e RE, Prishtine, Kosovo",3.64,11.9,18.27,6.37,13,2,0,8.62,6.17,0
2026-03-18 13:57:16,"Prishtina e RE, Prishtine, Kosovo","Dardania, Prishtine, Kosovo",2.82,10.32,14.32,4.0,13,2,0,8.62,6.17,0
2026-03-18 13:57:20,"Qafa, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",1.28,5.72,6.22,0.5,13,2,0,8.62,6.17,0
2026-03-18 13:57:22,"Prishtine Hospital, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:57:24,"University of Prishtina, Kosovo","Prishtine Center, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:57:27,"Prishtina Airport, Kosovo","Prishtine Center, Prishtine, Kosovo",26.67,31.82,34.88,3.07,13,2,0,8.62,6.17,0
2026-03-18 13:57:31,"Germia Park, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",4.46,11.27,14.75,3.48,13,2,0,8.62,6.17,0
2026-03-18 13:57:33,"Prishtine Center, Prishtine, Kosovo","Germia Park, Prishtine, Kosovo",4.51,11.42,13.63,2.22,13,2,0,8.62,6.17,0
2026-03-18 13:57:36,"Bregu i Diellit, Prishtine, Kosovo","Germia Park, Prishtine, Kosovo",5.13,12.72,13.7,0.98,13,2,0,8.62,6.17,0
2026-03-18 13:57:45,"Germia Park, Prishtine, Kosovo","Sunny Hill, Prishtine, Kosovo",4.92,11.57,12.7,1.13,13,2,0,8.62,6.17,0
2026-03-18 13:57:48,"Bregu i Diellit, Prishtine, Kosovo","Lisja, Prishtine, Kosovo",2.7,9.03,11.23,2.2,13,2,0,8.62,6.17,0
2026-03-18 13:57:51,"Maklleshi, Prishtine, Kosovo","Lisja, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:57:53,"Fushe Kosove, Kosovo","Prishtine Center, Prishtine, Kosovo",7.66,21.1,26.05,4.95,13,2,0,8.62,6.17,0
2026-03-18 13:57:55,"Veternik, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",8.4,19.53,22.58,3.05,13,2,0,8.62,6.17,0
2026-03-18 13:57:58,"Kalabria, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",4.28,12.43,15.68,3.25,13,2,0,8.62,6.17,0
2026-03-18 13:58:16,"Arberia, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",1.96,6.63,8.42,1.78,13,2,0,8.62,6.17,0
2026-03-18 13:58:18,"Emshir, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",4.28,12.43,15.73,3.3,13,2,0,8.62,6.17,0
2026-03-18 13:58:27,"Gazi Rada, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",3.31,12.4,20.95,8.55,13,2,0,8.62,6.17,0
2026-03-18 13:58:32,"Zahir Pajaziti, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",1.16,5.38,7.32,1.93,13,2,0,8.62,6.17,0
2026-03-18 13:58:35,"Sunny Hill, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",2.52,8.02,10.57,2.55,13,2,0,8.62,6.17,0
2026-03-18 13:58:37,"Maklleshi, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:58:39,"Lisja, Prishtine, Kosovo","Prishtine Center, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:58:42,"Prishtine Center, Prishtine, Kosovo","Fushe Kosove, Kosovo",7.42,17.6,28.37,10.77,13,2,0,8.62,6.17,0
2026-03-18 13:58:47,"Prishtine Center, Prishtine, Kosovo","Veternik, Prishtine, Kosovo",5.13,16.05,23.18,7.13,13,2,0,8.62,6.17,0
2026-03-18 13:58:49,"Prishtine Center, Prishtine, Kosovo","Kalabria, Prishtine, Kosovo",4.61,12.83,18.37,5.53,13,2,0,8.62,6.17,0
2026-03-18 13:58:54,"Prishtine Center, Prishtine, Kosovo","Arberia, Prishtine, Kosovo",1.8,5.9,8.25,2.35,13,2,0,8.62,6.17,0
2026-03-18 13:58:56,"Prishtine Center, Prishtine, Kosovo","Emshir, Prishtine, Kosovo",4.62,12.9,18.12,5.22,13,2,0,8.62,6.17,0
2026-03-18 13:59:14,"Prishtine Center, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.93,10.48,14.98,4.5,13,2,0,8.62,6.17,0
2026-03-18 13:59:16,"Prishtine Center, Prishtine, Kosovo","Zahir Pajaziti, Prishtine, Kosovo",1.15,4.68,5.52,0.83,13,2,0,8.62,6.17,0
2026-03-18 13:59:18,"Prishtine Center, Prishtine, Kosovo","Sunny Hill, Prishtine, Kosovo",2.65,8.27,8.93,0.67,13,2,0,8.62,6.17,0
2026-03-18 13:59:20,"Prishtine Center, Prishtine, Kosovo","Maklleshi, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:59:22,"Prishtine Center, Prishtine, Kosovo","Lisja, Prishtine, Kosovo",0.0,0.0,0.0,0.0,13,2,0,8.62,6.17,0
2026-03-18 13:59:24,"Dardania, Prishtine, Kosovo","Ulpiana, Prishtine, Kosovo",1.0,3.15,3.43,0.28,13,2,0,8.62,6.17,0
2026-03-18 13:59:26,"Ulpiana, Prishtine, Kosovo","Bregu i Diellit, Prishtine, Kosovo",2.33,8.28,7.92,-0.37,13,2,0,8.62,6.17,0
2026-03-18 13:59:31,"Dardania, Prishtine, Kosovo","Kalabria, Prishtine, Kosovo",2.92,6.25,7.83,1.58,13,2,0,8.62,6.17,0
2026-03-18 13:59:34,"Arberia, Prishtine, Kosovo","Bregu i Diellit, Prishtine, Kosovo",3.6,12.57,15.98,3.42,13,2,0,8.62,6.17,0
2026-03-18 13:59:36,"Emshir, Prishtine, Kosovo","Dardania, Prishtine, Kosovo",2.3,5.27,7.68,2.42,13,2,0,8.62,6.17,0
2026-03-18 13:59:38,"Gazi Rada, Prishtine, Kosovo","Zahir Pajaziti, Prishtine, Kosovo",2.93,12.37,17.73,5.37,13,2,0,8.62,6.17,0
2026-03-18 13:59:43,"Sunny Hill, Prishtine, Kosovo","Ulpiana, Prishtine, Kosovo",2.97,9.85,10.28,0.43,13,2,0,8.62,6.17,0
2026-03-18 13:59:45,"Maklleshi, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.93,10.48,13.82,3.33,13,2,0,8.62,6.17,0
2026-03-18 13:59:49,"Lisja, Prishtine, Kosovo","Sunny Hill, Prishtine, Kosovo",2.65,8.27,9.03,0.77,13,2,0,8.62,6.17,0
2026-03-18 13:59:52,"Veternik, Prishtine, Kosovo","Kalabria, Prishtine, Kosovo",3.91,8.77,11.05,2.28,13,2,0,8.62,6.17,0
2026-03-18 13:59:54,"Arberia, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",3.96,14.33,17.72,3.38,13,2,0,8.62,6.17,0
2026-03-18 13:59:57,"Dardania, Prishtine, Kosovo","Gazi Rada, Prishtine, Kosovo",2.09,7.37,8.73,1.37,13,2,0,8.62,6.17,0
